word,occurrence
police,reports
police,responded
police,responding
police,returned
police,review
police,riot
police,rousting
police,said
police,san
police,say
police,says
police,second
police,service
police,shame
police,shooting
police,shootings
police,shortly
police,shot
police,shows
police,skeptical
police,sketch
police,slain
police,source
police,spoke
police,spokesman
police,spokeswoman
police,standing
police,state
police,statement
police,statements
police,station
police,still
police,stop
police,swat
police,tactics
police,take
police,times
police,told
police,town
police,treat
police,triggered
police,trooper
police,unarmed
police,via
police,video
police,videos
police,violence
police,visited
police,waited
police,warned
police,wednesday
police,whose
police,would
said,able
said,accepted
said,accident
said,according
said,act
said,activists
said,actually
said,adam
said,added
said,adding
said,addition
said,afraid
said,agreement
said,agrees
said,ahmed
said,air
said,airstrike
said,alex
said,allegations
said,alliance
said,allow
said,aloud
said,also
said,always
said,ambassadors
said,american
said,amount
said,andrew
said,angry
said,annexed
said,another
said,anthony
said,anti
said,anything
said,apology
said,appeal
said,appearance
said,appeared
said,applications
said,approached
said,approving
said,area
said,armed
said,army
said,asked
said,attack
said,attacked
said,attacks
said,attended
said,attorney
said,autopsy
said,aware
said,bachochin
said,background
said,backs
said,bank
said,bankruptcy
said,barnes
said,barricaded
said,basketball
said,battle
said,believe
said,believes
said,biggest
said,billion
said,bissonnette
said,boards
said,bodies
said,body
said,bomb
said,bought
said,break
said,brief
said,briefing
said,brings
said,britain
said,british
said,brown
said,building
said,bulgaria
said,business
said,byron
said,calcium
said,call
said,called
said,caller
said,came
said,canada
said,cannot
said,chairman
said,changing
said,charges
said,cheng
said,chief
said,children
said,chris
said,citing
said,clark
said,clear
said,clearly
said,client
said,close
said,closed
said,closing
said,coalition
said,coerced
said,columbus
said,comment
said,committed
said,committee
said,community
said,companies
said,company
said,complicit
said,concerned
said,confirmed
said,connie
said,consider
said,constable
said,continue
said,contributed
said,contribution
said,conversations
said,convicted
said,convinced
said,coroner
said,could
said,councilman
said,counting
said,courageous
said,courts
said,craig
said,crowded
said,crump
said,crux
said,cruz
said,david
said,dealing
said,death
said,deborah
said,decided
said,decision
said,declare
said,dedicated
said,defense
said,delivered
said,democrats
said,demonstrations
said,department
said,deputies
said,deputy
said,desk
said,details
said,determined
said,disappointed
said,distrust
said,dmitri
said,done
said,doubt
said,downey
said,drastically
said,drone
said,dunbar
said,dying
said,eager
said,earlier
said,effects
said,effort
said,eid
said,election
said,email
said,enough
said,entered
said,equal
said,eric
said,error
said,even
said,event
said,every
said,everyone
said,excited
said,expected
said,expects
said,extending
said,extremely
said,falcon
said,family
said,faucher
said,favor
said,fawzy
said,fbi
said,feared
said,february
said,federal
said,fifa
said,fighters
said,figure
said,findings
said,fired
said,firefighters
said,first
said,five
said,foiled
said,following
said,forensic
said,former
said,four
said,france
said,friday
said,fuentes
said,funds
said,funeral
said,funny
said,future
said,game
said,given
said,glad
said,god
said,going
said,gotten
said,government
said,grad
said,grew
said,grown
said,gun
said,halting
said,haspel
said,hassan
said,heard
